 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I16613,PATAJALI SHISHU CARE MASSAGE OIL 100ML,Patanjali,Oct-18,85,,,,8904109449819,,,,,
I16613,PATAJALI SHISHU CARE MASSAGE OIL 100ML,Patanjali,Sep-18,85,,,,8904109449819,,,,,
344956,PATAJALI TOMATO KETCHUP (ONION GARLIC),Patanjali,Nov-17,70,,,,8904109420696,,,,,
I18471,PATANAJALI ROYAL SONAMASORI RICE,Patanjali,Dec-18,699,,,,8904109468094,,,,,
I18471,PATANAJALI ROYAL SONAMASORI RICE,Patanjali,Jan-19,699,,,,8904109468094,,,,,
I16614,PATANAJALI SHISHU CARE HAIR OIL 100ML,Patanjali,Dec-19,70,,,,8904109449840,,,,,
I16614,PATANAJALI SHISHU CARE HAIR CLEANSER100ML,Patanjali,Dec-19,80,,,,8904109449833,,,,,
I16614,PATANAJALI SHISHU CARE HAIR OIL 100ML,Patanjali,Sep-18,70,,,,8904109449840,,,,,
I156789,PATANAJALI SHISHU CARE BODY LOTION 100,Patanjali,,85,,,,8904109449826,,,,,
I06118,PATANJAJI NARIYAL BISCUITS 100GM,Patanjali,Dec-19,10,,,,8902351222211,,,,,
I14464,PATANJAJI NARIYAL BISCUITS 300GM,Patanjali,Apr-17,30,,,,8902351222372,,,,,
I14464,PATANJAJI NARIYAL BISCUITS 300GM,Patanjali,Jul-17,30,,,,8902351222372,,,,,
I01373,PATANJALI  AQUA FRESH SOAP 75GM,Patanjali,Oct-18,24,,,,8904109450181,,,,,
I01373,PATANJALI  AQUA FRESH SOAP 75GM,Patanjali,Jun-18,24,,,,8904109450181,,,,,
II3837,PATANJALI  DALIYA PUSHTAHAR,Patanjali,May-17,40,,,,8904109465123,,,,,
I34678,PATANJALI MADHURAM AGAR KONARK,Patanjali,,20,,,,8904109470493,,,,,
27890,PATANJALI MADHURAM AGAR ALKANANDA,Patanjali,,20,,,,8904109470509,,,,,
27891,PATANJALI MADHURAM AGAR MEDITATION,Patanjali,,20,,,,8904109466052,,,,,
27892,PATANJALI MADHURAM AGAR AMBER,Patanjali,,20,,,,8904109466090,,,,,
27893,PATANJALI MADHURAM AGAR VANGANDHA,Patanjali,,20,,,,8904109470523,,,,,
27894,PATANJALI MADHURAM AGAR OUDH,Patanjali,,20,,,,8904109466106,,,,,
27895,PATANJALI MADHURAM WHITE FLOWER,Patanjali,,20,,,,8904109466069,,,,,
27896,PATANJALI MADHURAM AGAR YAJNASUGNA,Patanjali,,20,,,,8904109466045,,,,,
27897,PATANJALI MADHURAM AGAR ROSE,Patanjali,,20,,,,8904109466021,,,,,
27898,PATANJALI MADHURAM AGAR LAVENDER,Patanjali,,20,,,,8904109466083,,,,,
I02204,PATANJALI  SPICES SABZI MASALA 100GM,Patanjali,Nov-17,38,,,,8904109465185,,,,,
I02204,PATANJALI  SPICES SABZI MASALA 100GM,Patanjali,Sep-17,38,,,,8904109465185,,,,,
I05325,PATANJALI AATA 5KG,Patanjali,Dec-19,170,,,,8904109470240,,,,,
I14103,PATANJALI ACTIVE CARE BRUSH,Patanjali,Dec-19,20,,,,8904109401169,,,,,
I17808,PATANJALI ADVANCE PASTE 50GM,Patanjali,Sep-18,50,,,,8904109451577,,,,,
I14461,PATANJALI AJOWAN 100GMS,Patanjali,Dec-18,38,,,,8904109470479,,,,,
II8888,PATANJALI ALMOND HAIR OIL,Patanjali,Oct-18,50,,,,8904109470875,,,,,
II8868,PATANJALI ALMOND KESAR HAND WASH,Patanjali,Aug-17,90,,,,8904109430626,,,,,
II8886,PATANJALI ALMOND KESAR KANTI SOAP 75GM,Patanjali,Apr-18,19,,,,8904109450242,,,,,
92975,PATANJALI ALOEVERA GEL 60ML,Patanjali,May-18,40,,,,8904109400360,,,,,
92976,PATANJALI ALOEVERA GEL 150ML,Patanjali,,80,,,,8904109400353,,,,,
I01306,PATANJALI ALOEVERA JUICE PLAIN,Patanjali,May-17,180,,,,8904109420337,,,,,
I15732,PATANJALI ALOEVERA KANTI SOAP 150GM,Patanjali,Oct-18,25,,,,8904109451928,,,,,
I15732,PATANJALI ALOEVERA KANTI SOAP 150GM,Patanjali,Oct-18,25,,,,8904109451928,,,,,
344463,PATANJALI ALOEVERA MOISTURIZING CREAM,Patanjali,Nov-18,75,,,,8904109450594,,,,,
I18660,PATANJALI AMLA ALOVERA JUICE WHEAT GRASS,Patanjali,Jan-18,100,,,,8904109465291,,,,,
I16005,PATANJALI AMLA ALOVERA LITCHI 65ML,Patanjali,Apr-17,5,,,,8904109445330,,,,,
I160047,PATANJALI AMLA AMRIT 5ML,Patanjali,,5,,,,8904109465130,,,,,
III469,PATANJALI AMLA HAIR OIL 100ML,Patanjali,Oct-18,40,,,,8904109470868,,,,,
I06817,PATANJALI AMLA PICKLE,Patanjali,Nov-17,95,,,,8904109465918,,,,,
I06817,PATANJALI AMLA PICKLE,Patanjali,Feb-18,95,,,,8904109465918,,,,,
I06818,PATANJALI AMLA CANDY 500GM,Patanjali,,140,,,,8904109470127,,,,,
I06819,PATANJALI AMRIT RASYAN 500 GM,Patanjali,,85,,,,8904109465581,,,,,
I06820,PATANJALI AMLA CHATPATA 500GM,Patanjali,,145,,,,8904109490521,,,,,
I06821,PATANJALI BEL CANDY 500 GM,Patanjali,,140,,,,8904109470110,,,,,
II3848,PATANJALI ANTI BACTIREA HAND WASH REFIL,Patanjali,Sep-18,40,,,,8904109451102,,,,,
I01423,PATANJALI ANTI WRINK CREAM,Patanjali,Nov-18,150,,,,8904109450143,,,,,
I14430,PATANJALI APPLE 1LTR,Patanjali,Dec-19,85,,,,8904109465109,,,,,
I15796,PATANJALI APRICOT FACE SCRUB 60GM,Patanjali,Jul-18,60,,,,8904109451348,,,,,
I15796,PATANJALI APRICOT FACE SCRUB 60GM,Patanjali,Dec-19,60,,,,8904109451348,,,,,
17930,PATANJALI ARHAR DAL (TUVAR DAL),Patanjali,Jul-17,124,,,,8904109474125,,,,,
44755,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,Jun-17,63,,,,8904109474033,,,,,
44755,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,Jun-17,63,,,,8904109474033,,,,,
II8874,PATANJALI ARJUN AMLA JUICE 500ML,Patanjali,Aug-17,80,,,,8904109467622,,,,,
I02206,PATANJALI AROGYA BISCUITS,Patanjali,Jul-17,10,,,,8902351222228,,,,,
I02137,PATANJALI ASHWAGANDHA CAP,Patanjali,Mar-19,5,,,,8904109420030,,,,,
III432,PATANJALI ATTA NOODLES CLASSIC 60GM,Patanjali,Dec-19,10,,,,8904109409950,,,,,
I01316,PATANJALI BADAM PAK 250GM,Patanjali,Jul-19,130,,,,8904109470882,,,,,
I01316,PATANJALI BADAM PAK 250GM,Patanjali,Oct-19,130,,,,8904109470882,,,,,
I14392,PATANJALI BADAM PAK 500GM,Patanjali,Jul-19,250,,,,8904109470073,,,,,
I14392,PATANJALI BADAM PAK 500GM,Patanjali,Oct-19,250,,,,8904109470073,,,,,
I18625,PATANJALI BADAM ROGAN 150ML,Patanjali,Dec-18,365,,,,8904049102010,,,,,
I02239,PATANJALI BADAM ROGHAN 60ML,Patanjali,Apr-19,150,,,,8904049101778,,,,,
II8881,PATANJALI BAL SHAVING CREAM.,Patanjali,Dec-18,55,,,,8904109450624,,,,,
92045,PATANJALI BALM 10GM,Patanjali,Oct-17,18,,,,8904109400506,,,,,
I01390,PATANJALI BALM 25GM,Patanjali,Dec-18,40,,,,8904109400322,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,Jun-19,20,,,,8904109445378,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,Mar-18,20,,,,8904109445378,,,,,
I14080,PATANJALI BANDANI HING,Patanjali,Jan-18,20,,,,8904109445378,,,,,
I14147,PATANJALI BANDHANI HING 25GM,Patanjali,Dec-19,40,,,,8904109445392,,,,,
II8873,PATANJALI BARLEY DALIA,Patanjali,Dec-19,30,,,,8904109470646,,,,,
I14917,PATANJALI BASMATI DIAMOND RICE 5 KG,Patanjali,Jul-18,700,,,,8904109467691,,,,,
II8874,PATANJALI 1121 DIAMOND RICE  1KG,Patanjali,,145,,,,8904109467721,,,,,
I14918,PATANJALI SHAKTI XXLBASMATI RICE 5KG,Patanjali,,540,,,,8904109467875,,,,,
II8875,PATANJALI BASMATI DHANASHREE 1KG,Patanjali,,100,,,,8904109467752,,,,,
I05322,PATANJALI BASMATI RICE GOLD 1KG,Patanjali,Dec-19,110,,,,8904109467714,,,,,
I14504,PATANJALI BASMATI RICE GOLD 5KG,Patanjali,Jul-18,510,,,,8904109467684,,,,,
I23686,PATANJALI BESAN 500GM,Patanjali,,90,,,,8904109465161,,,,,
I01424,PATANJALI BEAUTY CREAM,Patanjali,Jan-19,70,,,,8904109450167,,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,Oct-17,60,,,,8904109451157,,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,Dec-19,60,,,,8904109451157,,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,Jul-17,40,,,,8904109450587,,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,May-17,40,,,,8904109450587,,,,,
I02120,PATANJALI BRHAMI SHARBAT 750ML,Patanjali,Dec-19,100,,,,8904109440168,,,,,
108865,PATANJALI BURA 1KG,Patanjali,Dec-19,65,,,,8904109464621,,,,,
I18163,PATANJALI BUTTER COOKIES TIN 400GM,Patanjali,Jul-17,200,,,,8904109410215,,,,,
I14727,PATANJALI CHANA DAL 1KG,Patanjali,Dec-19,138,,,,8904109474101,,,,,
I14432,PATANJALI CHANA DAL 35GM,Patanjali,Jun-18,10,,,,7904162443121,,,,,
CL0363,PATANJALI CHANA DAL 500GM,Patanjali,Dec-19,74,,,,8904109474019,,,,,
II3845,PATANJALI CHANA MASALA,Patanjali,Oct-17,45,,,,8904109470905,,,,,
I05333,PATANJALI CHAT MASALA,Patanjali,Dec-19,36,,,,8904109465703,,,,,
I05333,PATANJALI CHAT MASALA,Patanjali,Oct-17,36,,,,8904109465703,,,,,
II8895,PATANJALI CHOCO DELITE BISCUIT,Patanjali,May-17,10,,,,8902351222280,,,,,
